"Opportunity Name","Randomized Order","Research Initiative","Bridge Name","GPS (Latitude)","GPS (Longitude)","Level 1 Government","Level 3 Government","Level 4 Government","Stage","Sub-Stage","Individuals Directly Served","Bridge Type","Span (m)","Ground Breaking Date","Close Date","CaseSafeID","Project Code","Close Month","B2P Fiscal Year","Level 2 Government"
"Rwanda - Nyakabuye - Nkomane - 1007495","6","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Nyakabuye - Nkomane","-2.2335740000","29.5753660000","Southern Province","Musange","Gasave","Complete","In Service","2790","Suspension Bridge","78.0","7/7/2020","10/23/2020","006f100000a86FXAAY","1007495","10/1/2020","2021","Nyamagabe"
"Rwanda - Rurongora - 1012816","9","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Rurongora","-2.3415200000","29.4663290000","Southern Province","Musebeya-kaduha","Nyarurambi","Complete","In Service","1962","Suspended Bridge","96.0","8/9/2021","11/12/2021","006f100000d6kx0AAA","1012816","11/1/2021","2022","Nyamagabe"
"Rwanda - Rwangambibi - 1007465","12","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Rwangambibi","-2.3451160000","29.4338700000","Southern Province","Gatare","Shyeru","Complete","In Service","3475","Suspended Bridge","83.0","8/9/2021","11/12/2021","006f100000a86F3AAI","1007465","11/1/2021","2022","Nyamagabe"
"Rwanda - Rwasa - 1013422","11","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Rwasa","-2.4176333300","29.5556750000","Southern Province","Kibumbwe-Kibirizi","Bwenda-Bugarura","Complete","In Service","3582","Suspended Bridge","70.0","8/9/2021","11/5/2021","006f100000d7JDHAA2","1013422","11/1/2021","2022","Nyamagabe"
"Rwanda - Sovu - 1013225","10","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Sovu","-2.5105316700","29.5358216700","Southern Province","Kamegeri","Kamegeri-Nyamigina","Complete","In Service","3540","Suspended Bridge","43.0","8/9/2021","11/8/2021","006f100000d75zUAAQ","1013225","11/1/2021","2022","Nyamagabe"
"Rwanda - Uwumugeti-Kigusa - 1012997","7","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Uwumugeti-Kigusa","-2.5407150000","29.5038380000","Southern Province","Tare","Nkumbure-Gatovu","Complete","In Service","2762","Suspended Bridge","55.0","6/20/2020","9/22/2020","006f100000d6wNyAAI","1012997","9/1/2020","2020","Nyamagabe"
"Rwanda - Bisheke - 1007508","13","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Bisheke","-2.2807620000","29.2062950000","Western Province","Macuba - Kirinda","Mutongo~ Muhororo","Rejected","Technical","2338","","","","12/31/2018","006f100000a86FkAAI","1007508","12/1/2018","2019","Nyamasheke"
"Rwanda - Bizenga - 1014138","8","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Bizenga","-2.3362600000","29.1414590000","Western Province","Kanjongo","Kibogora-kigarama","Prospecting","","2262","Truss Bridge","24.0","","12/31/2024","006f100000d1hIkAAI","1014138","12/1/2024","2023","Nyamasheke"
"Rwanda - Gacumbi - 1013567","1","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Gacumbi","-2.2629500000","29.1899090000","Western Province","Kirimbi","Muhororo","Rejected","Technical","1888","Suspension Bridge","46.0","","7/2/2020","006f100000d7b6QAAQ","1013567","7/1/2020","2022","Nyamasheke"
"Rwanda - Gasihe - 1013894","5","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Gasihe","-2.3608760000","29.1573740000","Western Province","Kanjongo","Raro","Complete","In Service","2762","Suspended Bridge","92.0","11/15/2021","2/23/2022","006f100000d88IbAAI","1013894","2/1/2022","2022","Nyamasheke"
"Rwanda - Gisiza - 1013898","14","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Gisiza","-2.3533350000","29.1473360000","Western Province","Kanjongo","Raro~ Gako","Complete","In Service","3100","Suspended Bridge","105.0","10/17/2022","1/31/2023","006f100000d88KhAAI","1013898","1/1/2023","2023","Nyamasheke"
"Rwanda - Kamatsira - 1013899","6","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kamatsira","-2.4075940000","29.1634240000","Western Province","Rangiro","Gakenke ~ Murambi","Complete","In Service","3221","Suspended Bridge","57.0","11/10/2021","2/21/2022","006f100000d88KmAAI","1013899","2/1/2022","2022","Nyamasheke"
"Rwanda - Karambo - 1013886","16","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Karambo","-2.2212680000","29.2560190000","Western Province","Mahembe~ Gihombo","Nyagatare~ kibingo","Complete","In Service","7086","Suspended Bridge","86.0","10/10/2022","4/26/2023","006f100000d88DlAAI","1013886","4/1/2023","2023","Nyamasheke"
"Rwanda - Kavumu - 1014119","18","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kavumu","-2.3760800000","29.1645500000","Western Province","Rangiro_Kanjongo","Murambi-Susa","Complete","In Service","4871","Suspended Bridge","80.0","9/19/2022","12/12/2022","006f100000d1hDLAAY","1014119","12/1/2022","2023","Nyamasheke"
"Rwanda - Kigandi - 1013692","2","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kigandi","-2.3260020000","29.1653310000","Western Province","Macuba ~ kanjongo","Vugangoma","Complete","In Service","2825","Suspended Bridge","64.0","6/15/2021","9/21/2021","006f100000d7ix5AAA","1013692","9/1/2021","2022","Nyamasheke"
"Rwanda - Mugaseke - 1013721","10","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Mugaseke","-2.2169380000","29.2834850000","Western Province","Mahembe","Gisoke","Complete","In Service","2412","Suspended Bridge","65.0","11/15/2021","2/15/2022","006f100000d7jEuAAI","1013721","2/1/2022","2022","Nyamasheke"
"Rwanda - Nonwe - 1013717","15","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Nonwe","-2.2247490000","29.2910240000","Western Province","Mahembe","Gisoke","Complete","In Service","2133","Suspended Bridge","68.0","9/23/2022","12/2/2022","006f100000d7jEVAAY","1013717","12/1/2022","2023","Nyamasheke"
"Rwanda - Nyabihunyira - 1014011","12","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Nyabihunyira","-2.5541960000","29.0434920000","Western Province","Karengera~ nyakabuye","Higiro~ nyabintare","Complete","In Service","10588","Suspended Bridge","78.0","3/2/2022","5/27/2022","006f100000d1f2TAAQ","1014011","5/1/2022","2022","Nyamasheke"
"Rwanda - Nyagisasa - 1013895","3","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Nyagisasa","-2.3430730000","29.1404220000","Western Province","Kanjongo","kibogora~Raro","Complete","In Service","7124","Suspension Bridge","114.0","5/31/2021","10/4/2021","006f100000d88IgAAI","1013895","10/1/2021","2022","Nyamasheke"
"Rwanda - Nyakabingo - 1013568","4","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Nyakabingo","-2.2794660000","29.1999710000","Western Province","Kirimbi","Muhororo","Rejected","Technical","1838","","","","7/2/2020","006f100000d7b6VAAQ","1013568","7/1/2020","2022","Nyamasheke"
"Rwanda - Peru - 1013563","7","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Peru","-2.3047470000","29.2193340000","Western Province","Macuba","Gatare","Rejected","Technical","2955","","","","12/14/2018","006f100000d7b66AAA","1013563","12/1/2018","2019","Nyamasheke"
