Bridge Opportunity: CaseSafeID,Bridge Opportunity: Project Code,Bridge Opportunity: Country,Bridge Opportunity: Opportunity Name,Bridge Opportunity: Stage,Bridge Opportunity: Sub-Stage,Bridge Opportunity: Close Date,Bridge Opportunity: Level 1 Government,Bridge Opportunity: Level 2 Government,Bridge Opportunity: Level 3 Government,Bridge Opportunity: Level 4 Government,Bridge Name,Bridge Opportunity: River Name,Bridge Opportunity: Research Initiative,Bridge Opportunity: Monitoring Campaign,Form: Form Name,Bridge Opportunity: GPS (Latitude),Bridge Opportunity: GPS (Longitude),Individuals Directly Served,Bridge Opportunity: Population Dataset URL,Bridge Opportunity: Population Estimate 2000m,Bridge Opportunity: Population Estimate 5000m,Community Served 1,Individuals served in Community 1,Community Served 2,Individuals served in Community 2,Community Served 3,Individuals served in Community 3,Community Served 4,Individuals served in Community 4,Community Served 5,Individuals served in Community 5,Community Served 6,Individuals Served in Community 6,Form: Created Date,Community Served 7,Individuals Served in Community 7,Community Served 8,Individuals Served in Community 8,Community Served 9,Individuals Served in Community 9,Community Served 10,Individuals Served in Community 10,geometry,WorldPop_1km,WorldPop_1_5km,WorldPop_2km,WorldPop_2_5km,WorldPop_3km,WorldPop_1km_unproj,WorldPop_1_5km_unproj,WorldPop_2km_unproj,WorldPop_2_5km_unproj,WorldPop_3km_unproj
006f100000d6wGdAAI,1012974,Rwanda,Rwanda - Ryaruhirima - 1012974,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyamugali (Ryaruhirima),Ryaruhirima,,,,Project Assessment - 2018.8.25,-1.54643,29.84546,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6850.0,43492.0,Ryaruhirima,982.0,Kagihanga,753.0,Ntazi,0.0,Mugonero,616.0,,0.0,,,8/25/18,,,,,,,,,POINT (482804.6084405653 4829020.679509774),1590.92,3653.97,5655.16,8166.33,11661.42,1664.02,3681.08,5692.75,8305.62,11713.66
006f100000d6wGnAAI,1012975,Rwanda,Rwanda - Musave - 1012975,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Nyamugali(Karyango),Musave,,,,Project Assessment - 2018.8.25,-1.55797,29.86744,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6454.0,36967.0,Karyango,900.0,Nyagahondo,652.0,Cyarurenge,420.0,,0.0,,0.0,,,8/25/18,,,,,,,,,POINT (485250.36874811625 4827744.932498046),1276.74,2480.86,5961.58,8665.04,12539.85,1305.78,2561.79,6137.87,8776.46,12781.42
006f100000d6wHbAAI,1012976,Rwanda,Rwanda - Kirwa - 1012976,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Nyamugali (Shorezo),Kirwa,,,,Project Assessment - 2018.8.25,-1.57513,29.87746,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6457.0,38192.0,Shorezo,673.0,Kanyaru,896.0,Bigarigari,530.0,Nyiraruhuha,786.0,,0.0,,,8/25/18,,,,,,,,,POINT (486365.3826741442 4825847.716550327),1550.98,3409.85,7076.39,9437.03,12818.07,1599.69,3488.34,7147.19,9601.18,13049.68
006f100000d6wHlAAI,1012977,Rwanda,Rwanda - Ku mashuri ya rubona - 1012977,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyiraruhuha,Ku mashuri ya rubona,,,,Project Assessment - 2018.8.25,-1.58122,29.88095,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6490.0,38978.0,Nyiraruhuha,786.0,Shorezo,673.0,Kanyaru,896.0,Ngongwe,345.0,,0.0,,,8/25/18,,,,,,,,,POINT (486753.74244219955 4825174.402464647),1633.01,3513.63,6506.45,9711.75,13889.07,1713.69,3566.08,6580.43,9760.19,13886.99
006f100000d75zFAAQ,1013222,Rwanda,Rwanda - Kiziba - 1013222,Complete,In Service,12/13/24,Northern Province,Burera,Rugengabari,Nyanamo ( Kiziba),Kiziba,Nyamusanze,Rwanda Full Scale Research - Randomized but Not Baselined,,Project Assessment - 2018.9.2,-1.55473,29.83253,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6274.0,48005.0,Kiziba,864.0,Bishingwe,436.0,Kabukoko,450.0,Ntazi,580.0,Mugonero,616.0,,,9/2/18,,,,,,,,,POINT (481365.9789077533 4828102.885004363),1393.94,2921.45,4941.85,8703.56,12379.04,1395.03,2980.64,5020.13,8725.21,12437.89
006f100000d75zKAAQ,1013223,Rwanda,Rwanda - Gafuro ya 2 - 1013223,Rejected,Technical,11/15/18,Northern Province,Burera,Cyeru,Rurenge (Rugarama),Gafuro ya 2,Cyeru,,,Project Assessment - 2018.9.2,-1.51139,29.81161,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7406.0,49016.0,Rugarama,555.0,Musama,522.0,Mubuga,517.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (479037.82671120827 4832894.559244362),591.94,1901.6,3929.45,6682.37,10445.44,600.47,1887.15,3979.42,6696.81,10493.3
006f100000d75zeAAA,1013227,Rwanda,Rwanda - Gafuro ya 1 - 1013227,Rejected,Technical,11/11/18,Northern Province,Burera,Cyeru,Butare ( Musama),Gafuro ya 1,Karuruma,,,Project Assessment - 2018.9.2,-1.51287,29.8126,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7621.0,49414.0,Musama,522.0,Mubuga,517.0,Rugarama,555.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (479147.99862519634 4832730.933185231),615.0,2077.74,3992.99,6856.43,10784.75,628.54,2058.22,4074.04,6860.57,10858.4
006f100000d75zjAAA,1013228,Rwanda,Rwanda - Ku gatare - 1013228,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Rubona,Ku gatare,Nyamihogo,,,Project Assessment - 2018.9.2,-1.55931,29.88196,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6213.0,34887.0,Rebero,460.0,Cyabarenge,445.0,Kinkware,827.0,Buhore,763.0,Kanyaru,895.0,,,9/2/18,,,,,,,,,POINT (486865.98484383425 4827596.872429867),1034.65,2772.64,6327.98,9395.18,12332.36,1057.34,2807.18,6474.01,9535.3,12614.51
006f100000d75zoAAA,1013229,Rwanda,Rwanda - Kwa magorwa - 1013229,Rejected,Technical,9/13/18,Northern Province,Burera,Nemba,Rubona,Kwa magorwa,Nyamakoma,,,Project Assessment - 2018.9.2,-1.59194,29.89186,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6676.0,41986.0,Ngongwe,343.0,Nyantwere,410.0,Cyabami,956.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (487967.721651613 4823989.219928688),971.83,2924.35,6553.35,11593.18,14887.64,978.9,2906.47,6494.76,11640.42,15047.98
006f100000d75ztAAA,1013230,Rwanda,Rwanda - Kwa mizerero - 1013230,Rejected,Technical,11/10/18,Northern Province,Burera,Nemba,Rubona,Kwa mizerero,Kanina,,,Project Assessment - 2018.9.2,-1.605,29.89527,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7879.0,44773.0,Butunda,380.0,Kadehero,658.0,Rugaragara,560.0,,0.0,,0.0,,,9/2/18,,,,,,,,,POINT (488347.21192151617 4822545.270169743),2007.33,4457.6,7070.37,11361.39,15719.11,2018.12,4486.75,7156.57,11506.19,15973.15
