ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Busunju Town Council,UG10180302,Mityana,UG101803,Mityana,UG1018,Central,UG1
Buswale,UG20550104,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2
Butagaya,UG20400302,Kagoma,UG204003,Jinja,UG2040,Eastern,UG2
Butalangu Town Council,UG10220101,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Butaleja,UG20360106,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Butaleja Town Council,UG20360107,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Butama-Mitunda Town Council,UG41030103,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Butanda,UG41090202,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Butandiga,UG20610113,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Butansi,UG20440103,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2
Butayunja,UG10180102,Busujju,UG101801,Mityana,UG1018,Central,UG1
Buteba,UG20350205,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Butebo,UG20370101,Butebo,UG203701,Butebo,UG2037,Eastern,UG2
Butebo Town Council,UG20370102,Butebo,UG203701,Butebo,UG2037,Eastern,UG2
Butemba,UG10120112,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Butemba Town Council,UG10120113,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Butenga,UG10020103,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1
Buteza,UG20610114,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Butiaba,UG41020104,Buliisa,UG410201,Buliisa,UG4102,Western,UG4
Butiiti,UG41240103,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Butiru,UG20520107,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Butogota Town Council,UG41140101,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Butoloogo,UG10200101,Buwekula,UG102001,Mubende,UG1020,Central,UG1
Butta,UG20520108,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Butunduzi,UG41240104,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Butunduzi Town Council,UG41240105,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Butungama,UG41280101,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Butuntumula,UG10140202,Katikamu,UG101402,Luwero,UG1014,Central,UG1
Buvuma Town Council,UG10040103,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Buwaaya,UG20530105,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Buwabwala,UG20560109,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Buwagogo,UG20520109,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Buwalasi,UG20610115,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Buwali,UG20290113,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Buwama,UG10190101,Mawokota,UG101901,Mpigi,UG1019,Central,UG1
Buwangani Town Council,UG20520110,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Buwasa,UG20610116,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Buwenge,UG20400303,Kagoma,UG204003,Jinja,UG2040,Eastern,UG2
Buwenge Town Council,UG20400304,Kagoma,UG204003,Jinja,UG2040,Eastern,UG2
Buwooya,UG10040104,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Buwunga,UG10170102,Bukoto,UG101701,Masaka,UG1017,Central,UG1
Buwunga,UG20300205,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2
Buyaga Town Council,UG20340111,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Buyanga,UG20310103,Bugweri,UG203101,Bugweri,UG2031,Eastern,UG2
Buyanga,UG20350206,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Buyanja,UG41330201,Rubabo,UG413302,Rukungiri,UG4133,Western,UG4
Buyanja Town Council,UG41330202,Rubabo,UG413302,Rukungiri,UG4133,Western,UG4
Buyende,UG20380102,Budiope,UG203801,Buyende,UG2038,Eastern,UG2
Buyende Town Council,UG20380103,Budiope,UG203801,Buyende,UG2038,Eastern,UG2
Buyengo,UG20400305,Kagoma,UG204003,Jinja,UG2040,Eastern,UG2
Buyinda,UG20430104,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Buyinja,UG20550105,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2
Buyobo,UG20610117,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Bwambara,UG41330104,Bujumbura,UG413301,Rukungiri,UG4133,Western,UG4
Bwamiramira,UG41170102,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Bwanswa,UG41120102,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Bweema,UG10040105,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Bwera,UG41150101,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Bweramule,UG41280102,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Bwesumbu,UG41150203,Busongora,UG411502,Kasese,UG4115,Western,UG4
Bweyale Town Council,UG41200101,Kibanda,UG412001,Kiryandongo,UG4120,Western,UG4
Bweyogerere Division,UG10260301,Kira Municipality,UG102603,Wakiso,UG1026,Central,UG1
Bwijanga,UG41250102,Bujenje,UG412501,Masindi,UG4125,Western,UG4
