ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Kadungulu,UG20600102,Kasilo,UG206001,Serere,UG2060,Eastern,UG2
Kadungulu Town Council,UG20600103,Kasilo,UG206001,Serere,UG2060,Eastern,UG2
Kafunjo-Mirama Town Council,UG41290302,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Kagadi,UG41110104,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kagadi  Town Council,UG41110105,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kagamba,UG10240104,Kooki,UG102401,Rakai,UG1024,Central,UG1
Kagango Division,UG41070203,Ibanda Municipality,UG410702,Ibanda,UG4107,Western,UG4
Kagango Division,UG41350202,Sheema Municipality,UG413502,Sheema,UG4135,Western,UG4
Kagarama Town Council,UG41290103,Kajara,UG412901,Ntungamo,UG4129,Western,UG4
Kagongi,UG41260104,Kashari,UG412601,Mbarara,UG4126,Western,UG4
Kagugu,UG41030105,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Kagulu,UG20380104,Budiope,UG203801,Buyende,UG2038,Eastern,UG2
Kagumba,UG20440104,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2
Kagumu,UG20480106,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kaharo,UG41090203,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Kahoora Divison,UG41060203,Hoima Municipality,UG410602,Hoima,UG4106,Western,UG4
Kahunge,UG41130106,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Kahunge Town Council,UG41130107,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Kajjansi Town Council,UG10260102,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Kakabara,UG41230103,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Kakamar,UG30750104,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Kakamba,UG41080103,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Kakanju,UG41050204,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Kakiika Division,UG41260105,Kashari,UG412601,Mbarara,UG4126,Western,UG4
Kakindo,UG41120103,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kakindo Town Council,UG41350102,Sheema,UG413501,Sheema,UG4135,Western,UG4
Kakindu,UG10180103,Busujju,UG101801,Mityana,UG1018,Central,UG1
Kakira Town Council,UG20400103,Butembe,UG204001,Jinja,UG2040,Eastern,UG2
Kakiri,UG10260103,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Kakiri Town Council,UG10260104,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Kakoba Division,UG41260201,Mbarara Municipality,UG412602,Mbarara,UG4126,Western,UG4
Kakomongole,UG30890101,Chekwi,UG308901,Nakapiripirit,UG3089,Northern,UG3
Kakooge,UG10230101,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Kakooge Town Council,UG10230102,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Kakoro,UG20370104,Butebo,UG203701,Butebo,UG2037,Eastern,UG2
Kakule,UG20280104,Budaka,UG202801,Budaka,UG2028,Eastern,UG2
Kakumiro  Town Council,UG41120104,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kakure,UG20420104,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2
Kakutu,UG20480107,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kakuuto,UG10130102,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kalagala,UG10140102,Bamunanika,UG101401,Luwero,UG1014,Central,UG1
Kalaki,UG20420105,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2
Kalaki Town Council,UG20420106,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2
Kalamba,UG10030104,Butambala,UG100301,Butambala,UG1003,Central,UG1
Kalangaalo,UG10180303,Mityana,UG101803,Mityana,UG1018,Central,UG1
Kalangala Town Council,UG10060102,Bujumba,UG100601,Kalangala,UG1006,Central,UG1
Kalapata,UG30750105,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Kaliiro,UG10160101,Kabula,UG101601,Lyantonde,UG1016,Central,UG1
Kaliro Town Council,UG20430106,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Kalisizo,UG10130103,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kalisizo Town Council,UG10130104,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kalongo,UG10230103,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Kalongo Town Council,UG30660104,Agago,UG306601,Agago,UG3066,Northern,UG3
Kalungi,UG10230104,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Kalungu,UG10070102,Kalungu,UG100701,Kalungu,UG1007,Central,UG1
Kalungu Town Council,UG10070103,Kalungu,UG100701,Kalungu,UG1007,Central,UG1
Kalwana,UG10090102,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Kambuga,UG41140102,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kambuga Town Council,UG41140103,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kamdini,UG30960106,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Kameke,UG20590206,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Kameruka,UG20280203,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2
Kamet,UG20330106,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Kamion,UG30750106,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Kamira,UG10140103,Bamunanika,UG101401,Luwero,UG1014,Central,UG1
Kammengo,UG10190102,Mawokota,UG101901,Mpigi,UG1019,Central,UG1
Kamonkoli,UG20280204,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2
Kamu,UG20340113,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Kamuda,UG20620104,Soroti,UG206201,Soroti,UG2062,Eastern,UG2
Kamuganguzi,UG41090204,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Kamuge,UG20590207,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Kamukuzi Division,UG41260202,Mbarara Municipality,UG412602,Mbarara,UG4126,Western,UG4
Kamwenge,UG41130108,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Kamwenge Town Council,UG41130109,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Kamwezi,UG41320102,Rukiga,UG413201,Rukiga,UG4132,Western,UG4
Kanaba,UG41210104,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Kanara,UG41220102,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4
Kanara,UG41280103,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Kanara Town Council,UG41280104,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Kangai,UG30730108,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Kanginima,UG20370105,Butebo,UG203701,Butebo,UG2037,Eastern,UG2
Kango,UG31000107,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Kangulumira,UG10100202,Ntenjeru,UG101002,Kayunga,UG1010,Central,UG1
Kanoni,UG41160104,Kazo,UG411601,Kazo,UG4116,Western,UG4
Kanoni Town Council,UG10050102,Gomba,UG100501,Gomba,UG1005,Central,UG1
Kanungu Town Council,UG41140104,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kanyabwanga,UG41270103,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Kanyantorogo,UG41140105,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kanyaryeru,UG41190101,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Kanyegaramire,UG41240106,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kanyum,UG20490102,Kumi,UG204901,Kumi,UG2049,Eastern,UG2
Kapedo,UG30760114,Dodoth,UG307601,Karenga,UG3076,Northern,UG3
Kapeeka,UG10220102,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Kapeke,UG10110104,Kiboga,UG101101,Kiboga,UG1011,Central,UG1
Kapelebyong,UG20460103,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2
Kapelebyong Town Council,UG20460104,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2
Kapir,UG20580101,Ngora,UG205801,Ngora,UG2058,Eastern,UG2
Kaproron,UG20500104,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kaproron Town Council,UG20500105,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kapsinda,UG20450206,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Kaptanya,UG20450207,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Kaptererwo,UG20330107,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Kaptoyoy,UG20500106,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kaptum,UG20500107,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kapujan,UG20470201,Toroma,UG204702,Katakwi,UG2047,Eastern,UG2
Kapyanga,UG20300207,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2
Karago Town Council,UG41100105,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Karama,UG41170104,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Karambi,UG41100106,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Karambi,UG41150104,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Karangura,UG41100107,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Karenga Town Council,UG30760115,Dodoth,UG307601,Karenga,UG3076,Northern,UG3
Karita,UG30690103,Pokot,UG306901,Amudat,UG3069,Northern,UG3
Karugutu,UG41280105,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Karugutu Town Council,UG41280106,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Karujubu Division,UG41250302,Masindi Municipality,UG412503,Masindi,UG4125,Western,UG4
Karungu,UG41010105,Buhweju,UG410101,Buhweju,UG4101,Western,UG4
Karusandara,UG41150205,Busongora,UG411502,Kasese,UG4115,Western,UG4
Kasaali Town Council,UG10130105,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kasaana,UG41350103,Sheema,UG413501,Sheema,UG4135,Western,UG4
Kasagama,UG10160102,Kabula,UG101601,Lyantonde,UG1016,Central,UG1
Kasambya,UG10200202,Kasambya,UG102002,Mubende,UG1020,Central,UG1
Kasambya,UG41120105,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kasambya Town Council,UG10200203,Kasambya,UG102002,Mubende,UG1020,Central,UG1
Kasangati Town Council,UG10260401,Kyadondo,UG102604,Wakiso,UG1026,Central,UG1
Kasangombe,UG10220103,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Kasanje,UG10260105,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Kasasa,UG10130106,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kasasira,UG20480108,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kasawo,UG10210401,Nakifuma,UG102104,Mukono,UG1021,Central,UG1
Kasenda,UG41100108,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Kaserem,UG20450208,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Kashambya,UG41320103,Rukiga,UG413201,Rukiga,UG4132,Western,UG4
Kashare,UG41260106,Kashari,UG412601,Mbarara,UG4126,Western,UG4
Kashenshero,UG41270104,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Kashenshero Town Council,UG41270105,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Kashongi,UG41190102,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Kashozi Division,UG41350203,Sheema Municipality,UG413502,Sheema,UG4135,Western,UG4
Kashumba,UG41080104,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Kasilo Town Council,UG20600104,Kasilo,UG206001,Serere,UG2060,Eastern,UG2
Kasimbi,UG41170105,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Kasitu,UG41030106,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Kasodo,UG20590208,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Kasokwe,UG20430107,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Kassanda,UG10090103,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Kassanda Town Council,UG10090104,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Kasule,UG41230104,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Katabi  Town Council,UG10260106,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Katakwi,UG20470101,Katakwi,UG204701,Katakwi,UG2047,Eastern,UG2
Katakwi Town Council,UG20470102,Katakwi,UG204701,Katakwi,UG2047,Eastern,UG2
Katanda,UG41310101,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Katebwa,UG41040104,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Katenga,UG41270106,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Katerera,UG41310102,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Katerera Town Council,UG41310103,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Kateta,UG20600202,Serere,UG206002,Serere,UG2060,Eastern,UG2
Katete,UG41140106,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kathile,UG30750107,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Kathile South,UG30750108,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Katiira,UG20280205,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2
Katikamu,UG10140203,Katikamu,UG101402,Luwero,UG1014,Central,UG1
Katikara,UG41120106,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Katikekile,UG30860101,Matheniko,UG308601,Moroto,UG3086,Northern,UG3
Katine,UG20620105,Soroti,UG206201,Soroti,UG2062,Eastern,UG2
Katooke,UG41240107,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Katooke Town Council,UG41240108,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Katrini,UG30720303,Terego,UG307203,Arua,UG3072,Northern,UG3
Katuna Town Council,UG41090205,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Katunguru,UG41310104,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Katwe-Butego Division,UG10170201,Masaka Municipality,UG101702,Masaka,UG1017,Central,UG1
Katwe Kabatoro Town Council,UG41150206,Busongora,UG411502,Kasese,UG4115,Western,UG4
Kawalakol,UG30760116,Dodoth,UG307601,Karenga,UG3076,Northern,UG3
Kawempe Division,UG10080102,KCCA,UG100801,Kampala,UG1008,Central,UG1
Kawolo Division,UG10010301,Lugazi Municipality,UG100103,Buikwe,UG1001,Central,UG1
Kawowo,UG20450209,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Kayonza,UG10100103,Bbaale,UG101001,Kayunga,UG1010,Central,UG1
Kayonza,UG41140107,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kayonza,UG41290401,Rushenyi,UG412904,Ntungamo,UG4129,Western,UG4
Kayunga,UG10100203,Ntenjeru,UG101002,Kayunga,UG1010,Central,UG1
Kayunga Town Council,UG10100204,Ntenjeru,UG101002,Kayunga,UG1010,Central,UG1
Kazo,UG41160105,Kazo,UG411601,Kazo,UG4116,Western,UG4
Kazo Town Council,UG41160106,Kazo,UG411601,Kazo,UG4116,Western,UG4
Kebisoni,UG41330203,Rubabo,UG413302,Rukungiri,UG4133,Western,UG4
Kebisoni Town Council,UG41330204,Rubabo,UG413302,Rukungiri,UG4133,Western,UG4
Kei,UG30990104,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Keihangara,UG41070104,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Kenshunga,UG41190103,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Kerwa,UG30990105,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Khabutoola,UG20520112,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Kibaale,UG20570103,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Kibaale Town Council,UG41170106,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Kibale,UG20590101,Butebo,UG205901,Pallisa,UG2059,Eastern,UG2
Kibalinga,UG10200204,Kasambya,UG102002,Mubende,UG1020,Central,UG1
Kibanda,UG10240105,Kooki,UG102401,Rakai,UG1024,Central,UG1
Kibatsi,UG41290104,Kajara,UG412901,Ntungamo,UG4129,Western,UG4
Kibibi,UG10030105,Butambala,UG100301,Butambala,UG1003,Central,UG1
Kibiga,UG10110105,Kiboga,UG101101,Kiboga,UG1011,Central,UG1
Kibiito,UG41040105,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Kibiito Town Council,UG41040106,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Kibinge,UG10020104,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1
Kiboga Town Council,UG10110106,Kiboga,UG101101,Kiboga,UG1011,Central,UG1
Kibuku,UG20480109,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kibuku Town Council,UG20480110,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kibuuku Town Council,UG41280107,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Kicheche,UG41220103,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4
Kichwamba,UG41310105,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Kicuzi,UG41070105,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Kicwamba,UG41100109,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Kidera,UG20380105,Budiope,UG203801,Buyende,UG2038,Eastern,UG2
Kidetok Town Council,UG20600105,Kasilo,UG206001,Serere,UG2060,Eastern,UG2
Kidongole,UG20320104,Bukedea,UG203201,Bukedea,UG2032,Eastern,UG2
Kifamba,UG10240106,Kooki,UG102401,Rakai,UG1024,Central,UG1
Kigambo,UG41230105,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Kiganda,UG10090105,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Kigandalo,UG20530108,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Kigando,UG10200205,Kasambya,UG102002,Mubende,UG1020,Central,UG1
Kigaraale,UG41240109,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kigarama,UG41350104,Sheema,UG413501,Sheema,UG4135,Western,UG4
Kigorobya,UG41060103,Bugahya,UG410601,Hoima,UG4106,Western,UG4
Kigorobya Town Council,UG41060104,Bugahya,UG410601,Hoima,UG4106,Western,UG4
Kigulya Division,UG41250303,Masindi Municipality,UG412503,Masindi,UG4125,Western,UG4
Kigumba,UG41200102,Kibanda,UG412001,Kiryandongo,UG4120,Western,UG4
Kigumba Town Council,UG41200103,Kibanda,UG412001,Kiryandongo,UG4120,Western,UG4
Kigwera,UG41020105,Buliisa,UG410201,Buliisa,UG4102,Western,UG4
Kihihi,UG41140108,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kihiihi Town Council,UG41140109,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kihungya,UG41020106,Buliisa,UG410201,Buliisa,UG4102,Western,UG4
Kihuura,UG41240110,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kijangi,UG41120107,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kijomoro,UG30850101,Maracha,UG308501,Maracha,UG3085,Northern,UG3
Kijongo,UG41070106,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Kijura Town Council,UG41100110,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Kikaatsi,UG41190104,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Kikagate,UG41080207,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Kikamulo,UG10220104,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Kikandwa,UG10180304,Mityana,UG101803,Mityana,UG1018,Central,UG1
Kiko Town Council,UG41100111,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Kikuube Town Council,UG41180105,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4
Kikwaya,UG41120108,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kikyenkye,UG41070107,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Kikyusa,UG10140104,Bamunanika,UG101401,Luwero,UG1014,Central,UG1
Kilembe,UG41150207,Busongora,UG411502,Kasese,UG4115,Western,UG4
Kimaanya-Kyabakuza Division,UG10170202,Masaka Municipality,UG101702,Masaka,UG1017,Central,UG1
Kimengo,UG41250201,Buruuli,UG412502,Masindi,UG4125,Western,UG4
Kimenyedde,UG10210402,Nakifuma,UG102104,Mukono,UG1021,Central,UG1
Kinaaba,UG41140110,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kinoni,UG10220105,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Kinoni,UG41190105,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Kinoni Town Council,UG41340102,Rwampara,UG413401,Rwampara,UG4134,Western,UG4
Kinuuka,UG10160103,Kabula,UG101601,Lyantonde,UG1016,Central,UG1
Kinyamasrke Town Council,UG41150105,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Kinyogoga,UG10220106,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Kira Division,UG10260302,Kira Municipality,UG102603,Wakiso,UG1026,Central,UG1
Kirewa,UG20630302,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Kirika,UG20480111,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kiriki,UG20500108,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kirima,UG41140111,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Kiringente,UG10190103,Mawokota,UG101901,Mpigi,UG1019,Central,UG1
Kirugu,UG41310106,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Kiruhura Town Council,UG41190106,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Kirumba,UG10130107,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kirumya,UG41030208,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Kirundo,UG41210105,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Kiryandongo,UG41200104,Kibanda,UG412001,Kiryandongo,UG4120,Western,UG4
Kiryandongo Town Council,UG41200105,Kibanda,UG412001,Kiryandongo,UG4120,Western,UG4
Kiryanga,UG41110106,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kisekka,UG10150101,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Kisiita,UG41120109,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kisiita Town Council,UG41120110,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kisinda,UG20430108,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Kisinga,UG41150106,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Kisinga Town Council,UG41150107,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Kisojo,UG41240111,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kisoko,UG20630303,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Kisomoro,UG41040107,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Kisozi,UG20440202,Buzaaya,UG204402,Kamuli,UG2044,Eastern,UG2
Kisubba,UG41030209,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Kitagata,UG41350105,Sheema,UG413501,Sheema,UG4135,Western,UG4
Kitagata Town Council,UG41350106,Sheema,UG413501,Sheema,UG4135,Western,UG4
Kitaihuka,UG41120111,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Kitanda,UG10020105,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1
Kitawoi,UG20500109,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kitayunjwa,UG20440105,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2
Kitenga,UG10200102,Buwekula,UG102001,Mubende,UG1020,Central,UG1
Kitgum Matidi,UG30770101,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Kitholhu,UG41150108,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Kitimbwa,UG10100104,Bbaale,UG101001,Kayunga,UG1010,Central,UG1
Kito,UG10220107,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Kitoba,UG41060105,Bugahya,UG410601,Hoima,UG4106,Western,UG4
Kitswamba,UG41150208,Busongora,UG411502,Kasese,UG4115,Western,UG4
Kitumba,UG41090206,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Kitumbi,UG10090106,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Kituntu,UG10190104,Mawokota,UG101901,Mpigi,UG1019,Central,UG1
Kitura,UG41190107,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Kituti,UG20480112,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Kitwe Town Council,UG41290303,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Kityerera,UG20530109,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Kiwoko Town Council,UG10220108,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Kiyanga,UG41270107,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Kiyombya,UG41040108,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Kiyuni,UG10200103,Buwekula,UG102001,Mubende,UG1020,Central,UG1
Kiziba,UG10240107,Kooki,UG102401,Rakai,UG1024,Central,UG1
Kiziranfumbi,UG41180106,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4
Kkingo,UG10150102,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Kobulubulu,UG20410105,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2
Kobwin,UG20580102,Ngora,UG205801,Ngora,UG2058,Eastern,UG2
Koch-Goma,UG30920105,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3
Kochi,UG30990106,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Kole Town Council,UG30790106,Kole,UG307901,Kole,UG3079,Northern,UG3
Kolir,UG20320105,Bukedea,UG203201,Bukedea,UG2032,Eastern,UG2
Koome Island,UG10210201,Mukono,UG102102,Mukono,UG1021,Central,UG1
Koro,UG30940102,Omoro,UG309401,Omoro,UG3094,Northern,UG3
Kortek,UG20330108,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Kotido,UG30800102,Jie,UG308001,Kotido,UG3080,Northern,UG3
Kotomol,UG30660105,Agago,UG306601,Agago,UG3066,Northern,UG3
Kucwiny,UG30910204,Padyere,UG309102,Nebbi,UG3091,Northern,UG3
Kuju,UG20270106,Amuria,UG202701,Amuria,UG2027,Eastern,UG2
Kuluba,UG30780103,Koboko,UG307801,Koboko,UG3078,Northern,UG3
Kululu,UG30990107,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Kumi,UG20490103,Kumi,UG204901,Kumi,UG2049,Eastern,UG2
Kuru,UG30990108,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Kwanyiy,UG20500110,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kwapa,UG20630101,Tororo,UG206301,Tororo,UG2063,Eastern,UG2
Kwera,UG30730109,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
