Opportunity Name,Project Code,Level 1 Government,Level 2 Government,Level 3 Government,B2P Fiscal Year,Stage,Sub-Stage,Close Date,Bridge Type,Span (m),GPS (Latitude),GPS (Longitude),Population Estimate 2000m,Population Estimate 5000m,Individuals Directly Served
Uganda - Bunabubulo Shabakhana - 1008739,1008739,Eastern Region,Mbale,Wanale,2018,Identified,Identified in Needs Assessment,,,,1.041863,34.234617,13313,85633,1050
Uganda - Bumutsola - 1008740,1008740,Eastern Region,Namisindwa,Nambooko and Bubutu,2018,Identified,Identified in Needs Assessment,,,,0.79408,34.312397,8049,47314,750
Uganda - Bumula - 1008741,1008741,Eastern Region,Namisindwa,Namabya,2018,Identified,Identified in Needs Assessment,,,,0.89265,34.332517,12627,80931,2000
Uganda - Kisekere - 1008746,1008746,Eastern Region,Namisindwa,Bumbo,2018,Identified,Identified in Needs Assessment,,,,0.87172,34.385675,18285,84575,
Uganda - Khasula - 1008747,1008747,Eastern Region,Namisindwa,Bumbo,2018,Identified,Identified in Needs Assessment,,,,0.87643,34.381873,18386,83051,
Uganda - Mufutu - 1008748,1008748,Eastern Region,Namisindwa,Bumbo,2018,Identified,Identified in Needs Assessment,,,,0.87336,34.375845,18026,84824,
Uganda - Buwambwa Nambwa - 1008751,1008751,Eastern Region,Namisindwa,Bumbo,2018,Identified,Identified in Needs Assessment,,,,0.8827583,34.3703517,17446,81958,2200
Uganda - Bukituma - 1008752,1008752,Eastern Region,Namisindwa,Bumbo,2018,Identified,Identified in Needs Assessment,,,,0.876361,34.401335,17496,69257,9000
Uganda - Bunamajye - 1008753,1008753,Eastern Region,Mbale,Bufumbo and Bukonde,2018,Identified,Identified in Needs Assessment,,,,1.106367,34.2491,21066,95235,15000
Uganda - Cheoli - 1008754,1008754,Eastern Region,Namisindwa,Bumbo,2018,Identified,Identified in Needs Assessment,,,,1.078933,34.16706,70719,187973,
Uganda - Bukalamya - 1008756,1008756,Eastern Region,Manafwa,Bunabwana,2018,Identified,Identified in Needs Assessment,,,,0.79476,34.277295,4515,43961,1500
Uganda - Matunga - 1008757,1008757,Eastern Region,Manafwa,Sibanga,2018,Identified,Identified in Needs Assessment,,,,0.9343,34.233617,8026,54788,
Uganda - Bumasale - 1008758,1008758,Eastern Region,Manafwa,Sibanga,2018,Identified,Identified in Needs Assessment,,,,0.92475,34.2345,8207,56591,2000
Uganda - Bunekoye - 1008759,1008759,Eastern Region,Manafwa,Butiro,2018,Identified,Identified in Needs Assessment,,,,0.811033,34.2658,6399,48448,1000
Uganda - Buwanyeza - 1008760,1008760,Eastern Region,Manafwa,Butiro,2018,Identified,Identified in Needs Assessment,,,,0.841833,34.301367,9857,62267,
Uganda - Bumwango - 1008763,1008763,Eastern Region,Manafwa,Manafwa Town Council,2018,Identified,Identified in Needs Assessment,,,,0.9423,34.294717,11411,75266,1500
Uganda - Mungasa - 1008764,1008764,Eastern Region,Manafwa,Manafwa Town Council,2018,Identified,Identified in Needs Assessment,,,,0.955983,34.28955,14376,72252,
Uganda - Sisiyi - 1008766,1008766,Eastern Region,Bulambuli,Bulambuli,2018,Identified,Identified in Needs Assessment,,,,1.2567,34.39007,6319,54334,
Uganda - Bubwabala - 1008772,1008772,Eastern Region,Bulambuli,Buwikhonge,2018,Identified,Identified in Needs Assessment,,,,1.38565,34.300517,2710,13972,750
Uganda - Bulumela - 1008773,1008773,Eastern Region,Bulambuli,Bwikhonge,2018,Identified,Identified in Needs Assessment,,,,0.44365,34.312067,0,0,100
Uganda - Bulako Cheputi - 1008774,1008774,Eastern Region,Bulambuli,Bwikhonge,2018,Identified,Identified in Needs Assessment,,,,1.39775,34.35115,1301,10939,700
Uganda - Bumakika - 1008777,1008777,Eastern Region,Bududa,Mumasheti,2018,Identified,Identified in Needs Assessment,,,,1.001833,34.303088,15541,85212,150
Uganda - Bukhayiyi - 1008778,1008778,Eastern Region,Bududa,Bumasheti,2018,Identified,Identified in Needs Assessment,,,,1.005285,34.307622,16058,87239,1800
Uganda - Bumalende - 1008782,1008782,Eastern Region,Bududa,Bumasheti,2018,Identified,Identified in Needs Assessment,,,,1.01538,34.301837,14991,79925,5000
Uganda - Bunamwamba - 1008783,1008783,Eastern Region,Bududa,Bumasheti,2018,Identified,Identified in Needs Assessment,,,,0.984685,34.304173,13705,85976,0
Uganda - Butsebangwe - 1008785,1008785,Eastern Region,Bududa,Bukalasi,2018,Identified,Identified in Needs Assessment,,,,1.004555,34.403775,11112,56191,500
Uganda - Bunadasa - 1011492,1011492,Eastern Region,Sironko,Bumalimba,2018,Identified,Identified in Needs Assessment,,,,,,,,1000
Uganda - Mpulya - 1013292,1013292,Western Region,Bundibugyo,Ntandi Town Council,2018,Identified,Identified in Needs Assessment,,,,0.800634,30.138757,4150.37,21501.02,1512
Uganda - Laigong - 1011289,1011289,Eastern Region,Kween,Benet,2019,Identified,Identified in Needs Assessment,,,,1.356256,34.50558,8339,31375,2328
Uganda - Nyakasoha - 1013997,1013997,Western Region,Bundibugyo,Bundingoma,2019,Identified,Identified in Needs Assessment,,,,0.665085,29.974431,11334.12,59045.51,1300
Uganda - Nabowa - 1013998,1013998,Western Region,Bundibugyo,Busunga Town Council,2019,Identified,Identified in Needs Assessment,,,,0.660758,29.972717,10927.39,58486.24,1290
Uganda - Bundinamandi - 1013999,1013999,Western Region,Bundibugyo,Bundingoma,2019,Identified,Identified in Needs Assessment,,,,0.671205,29.963053,5802.11,50981.96,1760
Uganda - Rwakasenyi - 1013585,1013585,Western Region,Bundibugyo,Burondo,2019,Identified,Identified in Needs Assessment,,,,0.891714,30.178511,1589.13,10099.18,1750
Uganda - Mburakasaka - 1013587,1013587,Western Region,Kasese,Bulembya Division,2019,Identified,Identified in Needs Assessment,,,,0.186533,30.030177,4997.49,41737.95,2650
Uganda - Bumate-Bugombwa - 1013814,1013814,Western Region,Bundibugyo,Bundibugyo Town Council,2019,Identified,Identified in Needs Assessment,,,,0.688192,30.066011,11863.2,53287.17,1140
Uganda - Rufula - 1013815,1013815,Western Region,Bundibugyo,Bundibugyo Town Council,2019,Identified,Identified in Needs Assessment,,,,0.711685,30.06621,24328.02,60498.25,1400
Uganda - Kasuka-Kuka - 1013816,1013816,Western Region,Bundibugyo,Ndugutu,2019,Identified,Identified in Needs Assessment,,,,0.622532,30.024661,4304.75,29028.37,2300
Uganda - Bundikawungu West - 1013818,1013818,Western Region,Bundibugyo,Mirambi,2019,Identified,Identified in Needs Assessment,,,,0.667187,29.994301,17147.32,64574.18,5800
Uganda - Kazaroho - 1013819,1013819,Western Region,Bundibugyo,Sindila,2019,Identified,Identified in Needs Assessment,,,,0.583917,29.971551,957.35,11150.94,1600
Uganda - Mitunda - 1013821,1013821,Western Region,Bundibugyo,Kagugu,2019,Identified,Identified in Needs Assessment,,,,0.614398,29.991385,4377.52,38152.2,1900
Uganda - Ntagata - 1013822,1013822,Western Region,Bundibugyo,Kagugu,2019,Identified,Identified in Needs Assessment,,,,0.613734,29.979797,4238.88,36852.78,1950
Uganda - Busibi-Nyamba - 1014454,1014454,Western Region,Kasese,Kyabarungira,2019,Identified,Identified in Needs Assessment,,,,0.438299,30.160822,5424.1,38917.93,12400
Uganda - Karujumba - 1014456,1014456,Western Region,Kasese,Kyarumba,2019,Identified,Identified in Needs Assessment,,,,0.064435,29.911981,9632.45,35333.63,38000
Uganda - Kabingo-Busingo - 1014458,1014458,Western Region,Kasese,Kyarumba,2019,Identified,Identified in Needs Assessment,,,,0.150543,29.926509,2952.91,17566.49,6000
Uganda - Kigaramire - 1014460,1014460,Western Region,Kasese,Bugoye,2019,Identified,Identified in Needs Assessment,,,,0.266854,30.109818,6754.87,33047.46,16200
Uganda - Izinga-Bwizibwera - 1014649,1014649,Western Region,Kasese,Maliba,2019,Identified,Identified in Needs Assessment,,,,0.289855,30.110648,3711.61,24312.62,2650
Uganda - Nyakaka-Buhati - 1014651,1014651,Western Region,Kasese,Bwesumbu,2019,Identified,Identified in Needs Assessment,,,,0.472357,30.093033,2651.42,18198.82,6000
Uganda - Ngenge - 1018566,1018566,Eastern Region,Kween,Benet,2020,Identified,Identified in Needs Assessment,,Suspended Bridge,30,1.358779,34.521656,1501.3,15742.16,1302
Uganda - Nyinendugu - 1021782,1021782,Western Region,Ibanda,Bufunda division,2020,Identified,Identified in Needs Assessment,,,,-0.14743,30.498804,9610.14,37306.7,14400
Uganda - Kyetegyeka- Kajumbura - 1021783,1021783,Western Region,Ibanda,Bufunda division,2020,Identified,Identified in Needs Assessment,,,,-0.176814,30.530784,2701.02,23174.45,15200
Uganda - Mirambi - 1021825,1021825,Western Region,Ibanda,Kagongo,2020,Identified,Identified in Needs Assessment,,,,-0.126645,30.422006,4924.55,34458.07,24900
Uganda - Nkombe 1 - Kanyambiriri - 1022219,1022219,Western Region,Rubirizi,Rutoto,2020,Identified,Identified in Needs Assessment,,,,-0.350505,30.095959,2288.67,11297.18,900
Uganda - Bukyaba - 1022220,1022220,Western Region,Rubirizi,Rutoto,2020,Identified,Identified in Needs Assessment,,,,-0.314403,30.092098,3649.43,24338.75,2000
Uganda - Nkondo A- Nkondo B - 1022221,1022221,Western Region,Rubirizi,Ryeru subcounty,2020,Identified,Identified in Needs Assessment,,,,-0.290064,30.082289,5369.6,30062.74,2020
Uganda - Katanda 1- Kakindo A - 1022222,1022222,Western Region,Rubirizi,Katanda,2020,Identified,Identified in Needs Assessment,,,,-0.225961,30.172146,6891.26,36992.96,8242
Uganda - Katanda 1- kakindo C - 1022223,1022223,Western Region,Rubirizi,Katanda,2020,Identified,Identified in Needs Assessment,,,,-0.227783,30.174238,6696.78,36907.39,5858
Uganda - Mwongera 2- kakari 2 - 1022224,1022224,Western Region,Rubirizi,Katerera subcounty,2020,Identified,Identified in Needs Assessment,,,,-0.182909,30.200091,4293.09,28757.41,2783
Uganda - Nyakanengo - 1022226,1022226,Western Region,Rubirizi,Kyabakara,2020,Identified,Identified in Needs Assessment,,,,-0.170735,30.17835,2645.03,23255.12,1872
Uganda - Kwerebera-kakindo 2 bridge - 1022227,1022227,Western Region,Ibanda,"Kicuzi in Ibanda district, mashyoro in kitagwenda district",2020,Identified,Identified in Needs Assessment,,,,-0.115069,30.283477,1860.99,15717.35,0
