Opportunity Name,Project Code,Level 1 Government,Level 2 Government,Level 3 Government,B2P Fiscal Year,Stage,Sub-Stage,Close Date,Bridge Type,Span (m),GPS (Latitude),GPS (Longitude),Population Estimate 2000m,Population Estimate 5000m,Individuals Directly Served,geometry,WorldPop_3km
Uganda - Kihwera - 1025729,1025729,Western Region,Kabarole,Bukuku,2023.0,Identified,Identified in Needs Assessment,,,,0.657305,30.180105,7623.16,40344.46,0.0,"POLYGON ((30.207034449822228 0.6573202454990942, 30.20690625006422 0.6546629822726946, 30.20651993123181 0.6520311655269967, 30.205879214682657 0.6494501427291154, 30.204990272048278 0.6469447720051817, 30.203861665753188 0.644539182687265, 30.202504266500394 0.6422565428873828, 30.200931148519825 0.6401188363387649, 30.199157463590822 0.6381466506549239, 30.19720029505431 0.6363589790467002, 30.195078493223114 0.6347730374073772, 30.192812493778103 0.633404098527471, 30.190424120901447 0.6322653450353417, 30.187936377045254 0.6313677424789648, 30.18537322136225 0.6307199337697619, 30.18275933893404 0.6303281560032885, 30.18011990302058 0.63019618045571, 30.177480332621432 0.6303252763315641, 30.174866047684038 0.630714198609379, 30.17230222431606 0.6313592000995711, 30.1698135523588 0.6322540675958858, 30.16742399765504 0.6333901817697399, 30.165156571299253 0.6347566002283801, 30.163033108090282 0.6363401629350113, 30.161074056317858 0.6381256189740773, 30.159298280904757 0.6400957734397722, 30.15772288179773 0.6422316530325703, 30.15636302935343 0.6445126887689221, 30.155231818302006 0.6469169140450054, 30.15434014169225 0.6494211761480795, 30.153696586030115 0.6520013591799597, 30.153307348618707 0.6546326162476765, 30.15317617789436 0.6572896086874835, 30.153304337332738 0.6599467500209053, 30.153690593272202 0.6625784522961216, 30.154331226772012 0.6651593724450517, 30.155220069392197 0.6676646562863067, 30.156348562551724 0.6700701778266688, 30.15770583989531 0.6723527715587745, 30.159278831877952 0.6744904555197544, 30.16105239156232 0.6764626429641274, 30.163009440420577 0.678250340613399, 30.16513113273906 0.6798363315735441, 30.167397037045415 0.6812053411586777, 30.169785332813614 0.6823441840232769, 30.172273020554773 0.6832418911848328, 30.17483614327263 0.6838898157120047, 30.17745001715243 0.684281716058417, 30.18008946926273 0.6844138162372236, 30.182729079981513 0.6842848422543771, 30.185343427811894 0.6838960344470678, 30.187907334229255 0.6832511356058403, 30.19039610620076 0.6823563549922066, 30.19278577404012 0.6812203085958968, 30.195053322305146 0.679853936205012, 30.197176911512063 0.6782703960859902, 30.199136088529123 0.6764849382863607, 30.200911983620458 0.6745147577795878, 30.202487492240166 0.6723788288659431, 30.20384743982307 0.670097722424351, 30.204978727982912 0.6676934077757956, 30.20587046070767 0.6651890410675526, 30.206514049334906 0.6626087422177246, 30.20690329529471 0.6599773625700976, 30.207034449822228 0.6573202454990942))",22802.45
Uganda - Nyarukamba B - 1025731,1025731,Western Region,Kabarole,Karangura,2023.0,Identified,Identified in Needs Assessment,,,,0.659984,30.15836,4666.28,29659.44,0.0,"POLYGON ((30.185288957852737 0.6599994261492754, 30.18516077799108 0.6573422118092058, 30.184774483534806 0.6547104417554575, 30.18413379561235 0.6521294630183665, 30.18324488558739 0.6496241333114487, 30.182116315580316 0.6472185815818503, 30.18075895595623 0.6449359755876735, 30.179185880576195 0.64279829874234, 30.177412240822804 0.6408261383765195, 30.175455119615627 0.6390384874577758, 30.173333366825094 0.6374525616780028, 30.171067417672337 0.6360836336702363, 30.168679095866427 0.634944885950966, 30.16619140337712 0.6340472840032559, 30.163628298869842 0.6333994707215634, 30.161014466938312 0.633007683233012, 30.15837508035856 0.6328756928940457, 30.155735557654758 0.6330047690379307, 30.15312131831203 0.6333936668196607, 30.15055753799343 0.6340386392726762, 30.1480689061178 0.6349334734586538, 30.14567938813201 0.6360695503597167, 30.14341199476534 0.6374359279339901, 30.141288560486156 0.6390194465326594, 30.13932953329207 0.640804855661737, 30.137553777855437 0.6427749608666361, 30.135978393917227 0.6449107893243766, 30.13461855167545 0.6471917725486096, 30.133487345750765 0.6495959444483989, 30.132595669133078 0.6521001528343573, 30.131952108321077 0.6546802823367273, 30.131562860662456 0.657311486590522, 30.13143167468986 0.6599684274539702, 30.131559814026097 0.6626255189590239, 30.13194604520607 0.6652571736473005, 30.13258664953302 0.6678380489218937, 30.133475458855784 0.6703432910452919, 30.134603914923904 0.6727487744361348, 30.135961151750884 0.6750313339625409, 30.137534100194674 0.6771689879968197, 30.139307613750788 0.6791411500849193, 30.14126461434934 0.6809288271930916, 30.143386256754813 0.6825148026229991, 30.145652109988113 0.6838838018335809, 30.14804035402632 0.6850226395720641, 30.15052798988823 0.6859203468959957, 30.15309106108459 0.6865682768613699, 30.155704884301805 0.6869601878569732, 30.15834428709873 0.6870923037800531, 30.160983850327963 0.6869633504712143, 30.16359815294702 0.6865745680549797, 30.166162016861172 0.685929699064476, 30.16865074943905 0.6850349524620201, 30.171040381363834 0.683898943899702, 30.173307897527643 0.6825326127931782, 30.17543145874308 0.680949117005535, 30.17739061213444 0.6791637061541466, 30.17916648817969 0.6771935747597884, 30.180741982502923 0.6750576966518892, 30.182101920664106 0.6727766422248271, 30.183233204356455 0.6703723803058232, 30.184124937601485 0.6678680665436532, 30.18476853172438 0.6652878203576227, 30.1851577880973 0.6626564925968049, 30.185288957852737 0.6599994261492754))",15203.69
Uganda - Kibagha B - 1025732,1025732,Western Region,Kabarole,Karangura,2023.0,Identified,Identified in Needs Assessment,,,,0.659773,30.166483,5943.87,33086.88,0.0,"POLYGON ((30.19341214632524 0.6597883769594018, 30.193283960781518 0.6571311442331484, 30.192897658908144 0.6544993564387442, 30.192256961903386 0.6519183607724928, 30.191368041215892 0.649413015106457, 30.19023945906542 0.6470074485375545, 30.188882085930004 0.6447248289635936, 30.187308995796286 0.6425871399264118, 30.185535340184046 0.6406149688726602, 30.1835782021605 0.6388273088723876, 30.18145643175298 0.6372413757055062, 30.179190464347457 0.6358724420777344, 30.176802123824338 0.6347336905621489, 30.174314412329785 0.6338360866816678, 30.17175128870912 0.6331882733533555, 30.16913743773785 0.6327964877093273, 30.166498032373998 0.6326645010931806, 30.16385849132226 0.6327935828074298, 30.16124423424509 0.633182487958514, 30.1586804369779 0.6338274695137857, 30.15619178910529 0.634722314451751, 30.153802256231494 0.6358584036549083, 30.151534849233187 0.6372247949661108, 30.149411402714552 0.6388083286066145, 30.147452364795974 0.6405937539390025, 30.145676600258174 0.6425638763530874, 30.144101208934824 0.6446997228595972, 30.142741361099887 0.6469807247968234, 30.141610151432303 0.64938491589115, 30.1407184729619 0.6518891437650455, 30.140074912208327 0.6544692928570782, 30.139685666521018 0.6571005166090611, 30.139554484414997 0.6597574766865282, 30.139682629476216 0.6624145869312901, 30.140068868183807 0.6650462596994005, 30.140709481766944 0.6676271522149502, 30.141598301982814 0.6701324105698993, 30.142726770472724 0.6725379090226458, 30.144084021126552 0.6748204822930484, 30.14565698466456 0.6769581486186902, 30.147430514431957 0.6789303214257132, 30.14938753219768 0.6807180075766934, 30.15150919255583 0.6823039902867633, 30.1537750643496 0.6836729949462892, 30.15616332737286 0.6848118362524841, 30.158650982457736 0.685709545231828, 30.161214072926708 0.6863574749283647, 30.163827915278265 0.686749383738013, 30.16646733688565 0.6868814955839874, 30.16910691841991 0.6867525363512597, 30.1717212386629 0.6863637462264934, 30.174285119351747 0.6857188678219376, 30.176773867696035 0.6848241101950608, 30.17916351423043 0.6836880891080488, 30.181431043710354 0.6823217441003835, 30.183554616824722 0.6807382331713911, 30.185513780588135 0.6789528060857, 30.187289665383734 0.6769826575208769, 30.188865166756422 0.6748467614711547, 30.19022511020308 0.6725656885021606, 30.191356397370477 0.6701614076172226, 30.192248132250505 0.667657074644475, 30.19289172615574 0.665076809184239, 30.19328098046274 0.662445462266665, 30.19341214632524 0.6597883769594018))",17790.027
Uganda - Masongola - 1025821,1025821,Western Region,Kabarole,Kabende,2023.0,Identified,Identified in Needs Assessment,,,,0.886076,30.497318,2745.82,16616.54,0.0,"POLYGON ((30.524255831395553 0.886094229760612, 30.524127879993323 0.8834362735613487, 30.523741727540994 0.8808037418045658, 30.52310109387304 0.8782219886314577, 30.522212149855285 0.8757158789924494, 30.521083457910123 0.873309549136454, 30.51972588950266 0.8710261741259298, 30.51815252038418 0.8688877446181779, 30.516378504604187 0.8669148550637402, 30.514420928506333 0.8651265053624233, 30.512298646116975 0.8635399178874394, 30.510032097513598 0.86217037163973, 30.507643111924644 0.8610310551291269, 30.50515469745891 0.860132939398242, 30.502590819491093 0.8594846724105959, 30.499976169839208 0.8590924958184234, 30.497335928957643 0.8589601849097649, 30.4946955234366 0.859089012311019, 30.49208038114345 0.859477735792222, 30.489515686363525 0.8601226102901467, 30.48702613729785 0.8610174240311261, 30.484635708251673 0.8621535584035439, 30.482367418802625 0.8635200710014327, 30.48024311216926 0.8651038010377622, 30.478283244912365 0.8668894961109364, 30.476506689991755 0.8688599591027997, 30.474930555072742 0.8709962137930234, 30.473570017829623 0.8732776875949961, 30.472438179829886 0.8756824096539157, 30.471545940404216 0.8781872224003171, 30.470901891715133 0.880768004523105, 30.470512236033418 0.8833999032165664, 30.470380726017943 0.8860575734668222, 30.470508628573587 0.8887154220755971, 30.470894712635406 0.8913478540737015, 30.471535260997115 0.8939295191536103, 30.472424106071166 0.8964355557502701, 30.473552689237504 0.8988418304217444, 30.47491014321135 0.9011251702262851, 30.476483396639015 0.903263585859539, 30.47825729991695 0.9052364834041545, 30.480214771024876 0.9070248626532691, 30.482336959971146 0.9086115000981666, 30.484603430269257 0.9099811148175909, 30.486992355699975 0.9111205156703807, 30.48948073046636 0.9120187283727017, 30.49204459071935 0.9126671012344747, 30.494659245321685 0.9130593885347804, 30.497299513628754 0.913191810731125, 30.49993996799639 0.9130630909203857, 30.502555178680094 0.9126744671978807, 30.505119958766297 0.912029680793166, 30.50760960677573 0.9111349400945353, 30.510000144600756 0.9099988609066278, 30.51226854848345 0.9086323835147019, 30.514392970807638 0.9070486673528437, 30.516352950566596 0.905262964289463, 30.518129610477114 0.9032924717497757, 30.51970583883917 0.9011561670896187, 30.521066454387523 0.8988746248159204, 30.522198352545452 0.8964698184148141, 30.52309063167044 0.8939649086969879, 30.52373469807432 0.8913840207000937, 30.524124348805568 0.8887520112985253, 30.524255831395553 0.886094229760612))",6869.88
Uganda - Fortportal Hospital bridge - 1025822,1025822,Western Region,Kabarole,Fortportal city,2023.0,Identified,Identified in Needs Assessment,,,,0.656578,30.280525,32289.44,87138.15,0.0,"POLYGON ((30.307456733623393 0.6565926841170799, 30.307328468373576 0.65393519894533, 30.306942063000278 0.6513031677348694, 30.30630123967603 0.6487219399576627, 30.3054121710307 0.646216375658112, 30.304283420662216 0.6438106059836523, 30.302925860612245 0.641527800743156, 30.301352566603644 0.6393899452333935, 30.299578692050694 0.637417628484193, 30.297621322057857 0.6356298449625428, 30.295499308815543 0.6340438116458457, 30.293233089980497 0.6326748022260217, 30.290844491792406 0.6315360000407307, 30.288356518824813 0.6306383711471572, 30.285793132397284 0.6299905587593928, 30.283179019784228 0.6295988000643203, 30.280539356444446 0.6294668662150665, 30.27789956356193 0.6295960260776161, 30.275285063233213 0.6299850340772704, 30.272721033658872 0.6306301422594494, 30.270232166696022 0.6315251364461767, 30.267842430105624 0.6326613961376337, 30.265574836782633 0.634027977579722, 30.263451223189502 0.635611719195762, 30.261492039124533 0.637397368365462, 30.25971615084718 0.6393677283291449, 30.2581406594537 0.6415038238018989, 30.256780736249624 0.6437850837026365, 30.25564947670186 0.6461895392387591, 30.254757774374667 0.648694035439738, 30.254114216061353 0.6512744541038824, 30.253724999119907 0.6539059460130645, 30.253593871807496 0.656563170181268, 30.253722097187566 0.6592205378353291, 30.254108440956927 0.6618524587808425, 30.254749183310455 0.6644335877832627, 30.255638154729926 0.6669390685940457, 30.25676679535375 0.6693447732741837, 30.25812423735769 0.6716275345125, 30.259697409555326 0.6737653687032039, 30.2614711632135 0.6757376876357488, 30.26342841787366 0.6775254967592436, 30.265550325777586 0.6791115781124223, 30.267816453316623 0.6804806561573512, 30.270204977759548 0.6816195449191463, 30.27269289736678 0.6825172750135374, 30.275256252869397 0.6831651993373418, 30.277870358181396 0.6835570764020358, 30.280510038124557 0.6836891305056133, 30.28314987087684 0.6835600881607812, 30.285764432809522 0.6831711904260968, 30.288328543354638 0.6825261810187176, 30.290817507543384 0.6816312703207595, 30.293207353878476 0.6804950756236141, 30.295475065247533 0.6791285381836856, 30.297598800651652 0.6775448178866765, 30.299558105611393 0.6757591665336012, 30.301334109221397 0.6737887809680452, 30.302909705953233 0.671652637458787, 30.30426972045328 0.6693713089329315, 30.305401053746177 0.6669667668203025, 30.30629280943367 0.6644621694185157, 30.30693639867188 0.661881638818352, 30.307325622914362 0.6592500285395759, 30.307456733623393 0.6565926841170799))",54615.22
Uganda - Mpanga market - 1025823,1025823,Western Region,Kabarole,Fortportal city,2023.0,Identified,Identified in Needs Assessment,,,,0.656779,30.278464,33221.57,87906.48,0.0,"POLYGON ((30.305395688584117 0.6567936997916568, 30.305267425072035 0.6541362190745394, 30.304881021847144 0.6515041921263387, 30.304240201061774 0.6489229683791979, 30.303351135322085 0.646417407839826, 30.302222388198906 0.6440116416204126, 30.300864831703738 0.6417288394973344, 30.299291541526394 0.6395909867379003, 30.297517671045547 0.6376186723457707, 30.295560305327726 0.6358308907653029, 30.293438296523444 0.6342448589550178, 30.29117208224791 0.632875850591894, 30.288783488697973 0.6317370490027493, 30.28629552040345 0.6308394202381563, 30.2837321386396 0.6301916075099216, 30.28111803063643 0.6297998480070327, 30.278478371808617 0.6296679128891348, 30.27583858329668 0.6297970710331314, 30.27322408715483 0.6301860768795863, 30.27066006154283 0.6308311824934296, 30.268171198278914 0.6317261737203015, 30.265781465087507 0.6328624300879213, 30.26351387482975 0.6342290078734224, 30.261390263937383 0.6358127455347803, 30.259431082181425 0.6375983904894682, 30.2576551957978 0.6395687460183345, 30.256079705863254 0.6417048368793629, 30.254719783668055 0.6439860920363144, 30.25358852466833 0.6463905427429405, 30.252696822422138 0.6488950340760935, 30.252053263721272 0.6514754478820046, 30.251664045926958 0.6541069349905079, 30.251532917304324 0.6567641544630813, 30.251661140929414 0.6594215175730819, 30.252047482516204 0.662053434171153, 30.252688222281073 0.6646345590658443, 30.25357719073145 0.6671400360492901, 30.25470582803524 0.6695457372203077, 30.25606326640127 0.6718284953022947, 30.257636434679338 0.6739663267204181, 30.25941018417532 0.6759386432911528, 30.26136743447203 0.6777264504864214, 30.263489337854566 0.6793125303633417, 30.26575546075899 0.6806816073977633, 30.268143980499797 0.6818204956238688, 30.270631895383637 0.6827182256616767, 30.273195246187775 0.6833661504075064, 30.275809346871974 0.6837580283675958, 30.278449022302837 0.683890083830055, 30.281088850701778 0.6837610432932043, 30.28370340848176 0.6833721477969017, 30.2862675151143 0.6827271410355209, 30.288756475667586 0.6818322333645772, 30.29114631867842 0.6806960420453428, 30.29341402706535 0.6793295083009124, 30.295537759856998 0.6777457919808382, 30.29749706259783 0.6759601448475143, 30.299273064402534 0.6739897637038184, 30.300848659758806 0.6718536247761314, 30.302208673325076 0.6695723009478691, 30.303340006133876 0.6671677636042803, 30.304231761790717 0.6646631709979229, 30.304875351451262 0.662082645174437, 30.305264576564525 0.6594510396087604, 30.305395688584117 0.6567936997916568))",55571.137
Uganda - Kisabo 1 - 1025843,1025843,Western Region,Ibanda,Kicuzi,2023.0,Identified,Identified in Needs Assessment,,,,-0.158912,30.361206,3240.53,18014.25,0.0,"POLYGON ((30.38813785750375 -0.1589154481898171, 30.388007835038017 -0.1615730242847058, 30.387619687928588 -0.1642049717731904, 30.386977154621412 -0.1667859419658882, 30.386086423742807 -0.1692910772263141, 30.384956074474267 -0.1716962504198934, 30.383596993894415 -0.1739782973214873, 30.38202227208548 -0.1761152397413339, 30.38024707601619 -0.1780864972189893, 30.378288503417533 -0.1798730852453094, 30.376165418060726 -0.1814577981026606, 30.373898268026203 -0.1828253745621194, 30.371508888715933 -0.1839626448419786, 30.36902029250872 -0.1848586574127965, 30.366456447086247 -0.1855047844287649, 30.363842044566884 -0.1858948047714183, 30.36120226367223 -0.1860249639076847, 30.358562527218414 -0.1858940099878658, 30.355948257268544 -0.1855032058381918, 30.353384630304888 -0.1848563167348807, 30.35089633477871 -0.1839595740799251, 30.348507333372257 -0.1828216153308614, 30.346240632261512 -0.1814534007653212, 30.34411805960052 -0.1798681078840267, 30.34216005535884 -0.1780810044709253, 30.340385474533974 -0.1761093015343152, 30.33881140563163 -0.17397198754612, 30.3374530061594 -0.17168964557609, 30.336323356715553 -0.169284255081935, 30.335433335075663 -0.1667789802636495, 30.33479151148717 -0.1641979470192035, 30.334404066178276 -0.1615660106480988, 30.334274729873606 -0.1589085165380069, 30.334404747888268 -0.1562510561369767, 30.334792868145104 -0.1536192205588823, 30.3354353532301 -0.1510383541924543, 30.33632601637007 -0.1485333106841933, 30.337456280986675 -0.1461282136426904, 30.33881526325444 -0.1438462243666023, 30.340389876869192 -0.1417093188311742, 30.34216495902005 -0.1397380760794012, 30.344123416353845 -0.1379514800545182, 30.346246389528922 -0.1363667367815377, 30.348513434775942 -0.1349991086582371, 30.350902720719848 -0.1338617674517354, 30.353391238569856 -0.1329656674171446, 30.355955023655515 -0.1323194397614572, 30.358569386177166 -0.1319293094706673, 30.3612091489503 -0.1317990353030939, 30.363848889855188 -0.1319298735290251, 30.366463186657672 -0.1323205657682838, 30.36902686184355 -0.1329673510453079, 30.3715152251084 -0.1338640019480918, 30.373904311166825 -0.1350018845450839, 30.3761711105897 -0.1363700414851337, 30.3782937914449 -0.1379552974820336, 30.380251909605022 -0.1397423861692813, 30.382026605694747 -0.1417140971044832, 30.38360078677879 -0.1438514415083329, 30.384959291038502 -0.1461338351422218, 30.38608903384867 -0.1485392965630262, 30.386979133845724 -0.1510446588450799, 30.387621017770986 -0.1536257927292295, 30.388008503077575 -0.1562578390484466, 30.38813785750375 -0.1589154481898171))",9044.309
Uganda - Karuhisi - 1025842,1025842,Western Region,Ibanda,Kicuzi,2023.0,Identified,Identified in Needs Assessment,,,,-0.148989,30.275841,1223.96,9565.5,0.0,"POLYGON ((30.302770962638565 -0.1489923379204082, 30.302640959790214 -0.151649729739898, 30.302252850096437 -0.1542814957261567, 30.301610371664292 -0.1568622888871298, 30.300719712622325 -0.1593672532452013, 30.299589451498925 -0.1617722632719994, 30.2982304745691 -0.1640541562819798, 30.296655870966966 -0.1661909555447595, 30.294880806575843 -0.1681620819658768, 30.292922377912408 -0.1699485522961048, 30.29079944741433 -0.1715331619596133, 30.28853246172003 -0.1729006507398536, 30.286143254693034 -0.1740378497275999, 30.28365483709036 -0.1749338081165175, 30.281091174902773 -0.1755798986261621, 30.278476958503706 -0.1759699005385708, 30.275837364831908 -0.1761000595505743, 30.273197814899508 -0.1759691238675501, 30.27058372896189 -0.1755783561933751, 30.268020281707717 -0.1749315215036168, 30.265532159826872 -0.1740348507222694, 30.26314332429059 -0.1728969806543581, 30.260876779632135 -0.1715288707552498, 30.258754352448776 -0.1699436975403464, 30.25679648125605 -0.1681567276538378, 30.25502201971632 -0.1661851708203163, 30.253448055133912 -0.164048014096328, 30.25208974396238 -0.1617658390185263, 30.25096016590539 -0.1593606234092811, 30.250070198013624 -0.1568555297478331, 30.24942840998777 -0.1542746821439595, 30.249040981693817 -0.151642934060425, 30.248911643682934 -0.1489856290191877, 30.2490416412876 -0.1463283565935891, 30.249429722638617 -0.1436967060339251, 30.250072150718115 -0.1411160198964723, 30.250962739332575 -0.1386111500459939, 30.2520929126601 -0.136206218378988, 30.25345178779962 -0.1339243845696763, 30.255026279528757 -0.1317876230733918, 30.25680122626341 -0.1298165115332499, 30.258759536008377 -0.1280300326266083, 30.260882350895958 -0.1264453912588821, 30.26314922873058 -0.1250778488649939, 30.265538339793704 -0.123940576414511, 30.268026677016145 -0.1230445275368993, 30.270590277496122 -0.1223983329900332, 30.27320445323159 -0.1220082174899688, 30.27584402884648 -0.1218779397049865, 30.278483584022574 -0.1220087559940895, 30.281097698302972 -0.122399408241644, 30.283661195909826 -0.1230461359078643, 30.286149388218213 -0.1239427121816118, 30.288538311550425 -0.1250805038897357, 30.290804957999217 -0.1264485545881915, 30.292927497055604 -0.1280336900366243, 30.294885485904803 -0.1298206450421871, 30.29666006636299 -0.1317922104521522, 30.298234146555878 -0.133929398880384, 30.299592565587055 -0.1362116275718513, 30.30072223960787 -0.1386169166438402, 30.301612287879827 -0.1411221007939772, 30.30225413761325 -0.143703052435056, 30.30264160657078 -0.1463349141062217, 30.302770962638565 -0.1489923379204082))",6376.204
Uganda - Mutuure - 1025844,1025844,Western Region,Ibanda,Kicuzi,2023.0,Identified,Identified in Needs Assessment,,,,-0.172347,30.372726,4059.09,20743.53,0.0,"POLYGON ((30.39965812506113 -0.1723507233123326, 30.399528074682735 -0.1750083225405811, 30.399139897380504 -0.1776402903105508, 30.39849733188105 -0.1802212777432955, 30.397606567109953 -0.1827264270407656, 30.39647618256407 -0.1851316109362062, 30.395117065650858 -0.1874136651028397, 30.39354230679216 -0.1895506112807306, 30.39176707330419 -0.191521868971411, 30.389808463270285 -0.1933084536602985, 30.387685340815846 -0.1948931596570896, 30.38541815437408 -0.1962607257928815, 30.383028739695167 -0.1973979823783318, 30.38054010949827 -0.198293978008091, 30.3779762317943 -0.1989400849912732, 30.375361799016495 -0.1993300823939909, 30.372721990183766 -0.199460215895948, 30.370082228388927 -0.1993292338866853, 30.367467935948167 -0.1989383994561232, 30.364904289570447 -0.1982914781663447, 30.36241597790479 -0.1973947017248502, 30.3600269637999 -0.1962567079115559, 30.357760253564944 -0.194888457340356, 30.35563767545214 -0.1933031278589339, 30.353679669492887 -0.1915159876055483, 30.351905090709216 -0.1895442479466757, 30.350331027593544 -0.1874068977127049, 30.348972637602206 -0.1851245203285024, 30.34784300124458 -0.1827190955998912, 30.346952996170472 -0.1802137880643539, 30.34631119246591 -0.1776327239431733, 30.345923770163612 -0.1750007588415585, 30.345794459760736 -0.1723432384320184, 30.345924506315328 -0.1696857544235133, 30.346312657466324 -0.1670538981640964, 30.346955175492102 -0.1644730142474274, 30.347845873291455 -0.1619679564934919, 30.348976173941224 -0.1595628486510787, 30.35033519325802 -0.1572808521242899, 30.35190984457057 -0.1551439429579932, 30.3536849646956 -0.1531727002283204, 30.355643459906254 -0.151386107874909, 30.357766470489718 -0.1498013718826044, 30.360033552311933 -0.1484337545730185, 30.362422873643172 -0.1472964276020731, 30.364911425351593 -0.1464003450799924, 30.36747524244254 -0.1457541380368858, 30.37008963481212 -0.1453640312518884, 30.372729424994276 -0.1452337832487972, 30.375369190612922 -0.1453646500382876, 30.377983509204935 -0.1457553729582718, 30.38054720305637 -0.1464021907319574, 30.38303558169381 -0.1472988756299103, 30.38542467969486 -0.1484367933901818, 30.387691487526276 -0.1498049863215525, 30.38981417318525 -0.1513902787914041, 30.391772292507447 -0.1531774040838106, 30.393546986114362 -0.155149151407236, 30.395121161100985 -0.1572865316367454, 30.396479655711858 -0.1595689601947591, 30.397609385417105 -0.1619744553088721, 30.39849946897965 -0.1644798497367264, 30.399141333297187 -0.167061013917816, 30.39952879600769 -0.1696930884016869, 30.39965812506113 -0.1723507233123326))",9376.367
Uganda - NYAKATSE - 1026041,1026041,Western Region,Kasese,KYONDO SUB-COUNTY,2023.0,Identified,Identified in Needs Assessment,,,,0.105788,29.897304,3746.29,33543.09,0.0,"POLYGON ((29.9242248454341 0.1057907007365284, 29.924095471089974 0.1031341710153805, 29.923708070623373 0.1005032011576377, 29.923066375531548 0.0979231306938741, 29.922176566650492 0.0954188088153915, 29.921047214593916 0.0930143549980948, 29.919689197165717 0.0907329266620114, 29.91811559454316 0.0885964961061658, 29.916341563242348 0.0866256388688189, 29.914384190082064 0.0848393355526082, 29.912262327555183 0.0832547890239581, 29.909996412195714 0.0818872587475406, 29.907608267693526 0.080749913851004, 29.905120894655568 0.0798537063342663, 29.902558249040666 0.0792072656431545, 29.89994501140404 0.0788168156209475, 29.897306349175544 0.0786861146354625, 29.894667674262514 0.078816419455799, 29.8920543983125 0.0792064732238952, 29.88949168799314 0.0798525176338661, 29.887004222645796 0.0807483291989352, 29.88461595664614 0.0818852792538763, 29.88234988875887 0.0832524171124953, 29.880227840706038 0.0848365755769827, 29.878270247079282 0.086622497781104, 29.876495958616562 0.0885929841442121, 29.874922060735145 0.0907290580199196, 29.87356370906553 0.0930101484438116, 29.872433983567156 0.0954142882204918, 29.871543762628026 0.0979183254431243, 29.870901618357998 0.1004981464098207, 29.870513734081904 0.1031289077919722, 29.87038384482511 0.1057852758209517, 29.87051320136331 0.1084416701923565, 29.870900558181972 0.1110725103417581, 29.871542185461244 0.1136524617231995, 29.872431904971098 0.1161566797216449, 29.873561149532325 0.1185610488532406, 29.874919045472005 0.1208424149523836, 29.876492517281598 0.1229788081117811, 29.878266413472083 0.1249496542302985, 29.88022365241688 0.1267359731325906, 29.882345386780948 0.1283205613532706, 29.884611184955507 0.1296881578254667, 29.88699922775403 0.1308255908776652, 29.88948651847799 0.1317219051221755, 29.89204910433184 0.132368467011682, 29.89466230705696 0.1327590480453181, 29.897300960565115 0.1328898848205694, 29.899939653284086 0.1327597153500098, 29.90255297288206 0.1323697912902832, 29.905115751014026 0.131723865962653, 29.907603305732618 0.1308281582776272, 29.909991679227666 0.1296912929083797, 29.9122578686035 0.1283242172866814, 29.914380047469315 0.126740096218613, 29.916337776206408 0.1249541851332871, 29.9181121988846 0.1229836831840639, 29.919686224928803 0.1208475676162981, 29.921044693783294 0.1185664109966089, 29.92217452098528 0.1161621830642608, 29.92306482423836 0.113658039113863, 29.923707028269398 0.1110780969487917, 29.924094947456975 0.1084472045552402, 29.9242248454341 0.1057907007365284))",20740.559
