Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID,home_centroid,destination_centroid,Bridge Name,bridge_coordinates,home_to_bridge_distance,bridge_to_destination_distance,total_distance
Gasasa,02/08/2022,Bridge Survey - 00006238,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,Farming,,Livelihood,60.0,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZomQ,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006261,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,40.0,Female,School-aged child,,,,6.0,,Foot,,,,,River bed is dry; River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZooC,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006251,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,35.0,Male,School-aged child,,,,2.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001ZonT,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006242,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,40.0,Male,School-aged child,,,,5.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zomk,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006240,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,30.0,Male,School-aged child,,,,5.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Cloudy; Temperature is moderate,a3b3Z000001Zoma,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006244,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,30.0,Female,School-aged child,,,,4.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zomu,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006245,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,35.0,Male,School-aged child,,,,3.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zomz,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006262,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,35.0,Male,School-aged child,,,,7.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZooH,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006246,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,35.0,Female,School-aged child,,,,3.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zon4,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006241,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,School,,Education,30.0,Female,School-aged child,,,,5.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zomf,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
