Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID
Gasasa,21/04/2022,Bridge Survey - 00007416,Gasasa,,35010301,Other,Muhororo,3509,Gasasa,,35010301,B2P bridge,Healthcare,,Healthcare,240,Female,Senior,,,,,,Foot,,,She is going to search healthcare at traditional helberist,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMk1
Gasasa,21/04/2022,Bridge Survey - 00007422,Gasasa,,35010301,Other,GS Ruganda,35050105,Gasasa,,35010301,B2P bridge,School,,Education,30,Male,School-aged child,,,,1,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMkV
Gasasa,21/04/2022,Bridge Survey - 00007429,Gasasa,,35010301,Other,Kirarama/Rutovu,351306,Gasasa,,35010301,B2P bridge,Visiting friends or family,,Visiting family or friends,60,Female,Adult,,1,1,4,,Foot,Dry goods (such as grain),,"They are all carrying ""uduseke"" containing beans and maize for participation in family party.",,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMl4
Gasasa,21/04/2022,Bridge Survey - 00007428,Gasasa,,35010301,Other,Kirarama/Rutovu,351306,Gasasa,,35010301,B2P bridge,Visiting friends or family,,Visiting family or friends,90,Female,Adult,,5,,,,Foot,Produce; Other,,"4 of them are carrying sorghum beer, plantain, and beans for friends visit",,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMkz
Gasasa,21/04/2022,Bridge Survey - 00007413,Gasasa,,35010301,Other,Rugeshi,350605,Other,Rugeshi,35010303,B2P bridge,Farming,,Livelihood,30,Male,Adult,,,,,,Foot,"Agriculture inputs (manure, seed, pesticides, animal feed, etc.)",,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Temperature is cool,a3b3Z000001gMjm
Gasasa,21/04/2022,Bridge Survey - 00007410,Gasasa,,35010301,Other,GS Ruganda,35050105,Same as origin village,,35010301,B2P bridge,School,,Education,40,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000IQnrbQAD,Cloudy; Temperature is cool,a3b3Z000001gMjX
Gasasa,21/04/2022,Bridge Survey - 00007414,Ruganda,,35130305,Other,Gashubi,350103,Same as origin village,,35130305,B2P bridge,Wage labor,,Livelihood,60,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Temperature is cool,a3b3Z000001gMjr
Gasasa,21/04/2022,Bridge Survey - 00007430,Other,Bwira,3501,Ruganda,,35050105,Ruganda,,35050105,B2P bridge,Wage labor,,Livelihood,30,Male,Adult,,1,2,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMl9
Gasasa,21/04/2022,Bridge Survey - 00007412,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,School,,Education,40,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Temperature is cool,a3b3Z000001gMjh
Gasasa,21/04/2022,Bridge Survey - 00007423,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,Buying goods,,Livelihood,30,Male,Adult,,1,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMka
Gasasa,21/04/2022,Bridge Survey - 00007421,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,Buying goods,,Livelihood,30,Male,Adult,,2,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMkQ
Gasasa,21/04/2022,Bridge Survey - 00007420,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,School,,Education,30,Female,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMkL
Gasasa,21/04/2022,Bridge Survey - 00007417,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,Buying goods; Recreation,,Livelihood,60,Male,Adult,,1,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001gMk6
Gasasa,21/04/2022,Bridge Survey - 00007445,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,School,,Education,35,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001gMmM
Gasasa,21/04/2022,Bridge Survey - 00007451,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,Selling goods,,Livelihood,50,Male,Adult,,,,,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001gMmq
Gasasa,21/04/2022,Bridge Survey - 00007449,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,Selling goods,,Livelihood,30,Male,Young adult,,,1,,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001gMmg
Gasasa,21/04/2022,Bridge Survey - 00007444,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,Visiting friends or family,,Visiting family or friends,20,Male,Senior,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001gMmH
Gasasa,21/04/2022,Bridge Survey - 00007447,Gasasa,,35010301,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,School,,Education,40,Male,School-aged child,,,,1,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001gMmW
