Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID,home_centroid,destination_centroid,Bridge Name,bridge_coordinates,home_to_bridge_distance,bridge_to_destination_distance,total_distance
Nyarusange,10/02/2021,Bridge Survey - 00004627,,,,Other,Jali,1206,Other,Kicukiro,13,B2P bridge,Recreation,,Recreation,90.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZmXO,,POINT (501845.70898846496 4791867.3465657225),Nyarusange,POINT (499658.4689397679 4790499.624182629),,2579.6673327850017,
Nyarusange,10/02/2021,Bridge Survey - 00004648,,,,Other,Gakenke,42,Muko,,120603,B2P bridge,Other,Temporary job,Livelihood,180.0,Male,Adult,,2.0,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZmZn,POINT (500108.2970322977 4792337.141133313),,Nyarusange,POINT (499658.4689397679 4790499.624182629),1891.775318815317,,
Nyarusange,10/04/2021,Bridge Survey - 00004687,,,,Bridge site,,251002,Other,,nan,B2P bridge,Recreation,,Recreation,30.0,Female,School-aged child,,,,5.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZmcX,,POINT (452489.895881489 4737158.69490384),Nyarusange,POINT (499658.4689397679 4790499.624182629),,71204.83846396238,
Nyarusange,12/05/2021,Bridge Survey - 00005662,,,,Muko,,120603,Other,Kigali,1,B2P bridge,Wage labor,,Livelihood,40.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001Znwo,,POINT (500108.2970322977 4792337.141133313),Nyarusange,POINT (499658.4689397679 4790499.624182629),,1891.775318815317,
Nyarusange,12/05/2021,Bridge Survey - 00005752,,,,Other,Gakenke,42,Other,Nyamitanga,120607,,Visiting friends or family,,Visiting family or friends,180.0,Male,Adult,1.0,1.0,2.0,2.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zo2S,POINT (501434.51668065717 4790274.710990772),,Nyarusange,POINT (499658.4689397679 4790499.624182629),1790.2322535887458,,
Nyarusange,12/05/2021,Bridge Survey - 00005766,,,,Other,Nyamirambo,1108,Other,,nan,B2P bridge,Wage labor,,Livelihood,50.0,Male,Adult,,,,1.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zo3L,,POINT (504813.5845934009 4779692.4385416135),Nyarusange,POINT (499658.4689397679 4790499.624182629),,11973.741223264826,
Nyarusange,03/07/2022,Bridge Survey - 00006684,,,,Muko,,120603,Other,Rulindo,41,B2P bridge,Visiting friends or family,,Visiting family or friends,120.0,Female,Senior,,,,1.0,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001ZpQG,,POINT (500108.2970322977 4792337.141133313),Nyarusange,POINT (499658.4689397679 4790499.624182629),,1891.775318815317,
Nyarusange,03/07/2022,Bridge Survey - 00006665,,,,Muko,,120603,Other,Kigali,1,B2P bridge,Government office,,Government or civic engagements,60.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving swiftly,,Sunny; Temperature is cool,a3b3Z000001ZpOo,,POINT (500108.2970322977 4792337.141133313),Nyarusange,POINT (499658.4689397679 4790499.624182629),,1891.775318815317,
Nyarusange,03/07/2022,Bridge Survey - 00006666,,,,Nyamitanga Cell,,120607,Other,Gakenke,42,B2P bridge,Visiting friends or family,,Visiting family or friends,180.0,Female,Adult,,,,1.0,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001ZpOt,,POINT (501434.51668065717 4790274.710990772),Nyarusange,POINT (499658.4689397679 4790499.624182629),,1790.2322535887458,
Nyarusange,05/09/2022,Bridge Survey - 00007706,,,,Shyorongi Market,,4116,,,nan,,,,,,,,,,,,,,,,,,River is moving swiftly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000IST6WQAX,Temperature is cool,a3b3Z000001gNJV,,POINT (494794.2430955939 4793756.378029862),Nyarusange,POINT (499658.4689397679 4790499.624182629),,5853.814028870215,
Nyarusange,03/10/2022,Bridge Survey - 00006820,,,,Nyamitanga Cell,,120607,Other,Nyabugogo,nan,B2P bridge,Selling goods; Buying goods,,Livelihood,80.0,Male,Adult,,1.0,,,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZpbO,,POINT (501434.51668065717 4790274.710990772),Nyarusange,POINT (499658.4689397679 4790499.624182629),,1790.2322535887458,
Nyarusange,03/11/2022,Bridge Survey - 00006934,,,,Muko,,120603,Other,Kigali,1,B2P bridge,Wage labor,,Livelihood,90.0,Male,Adult,,,,,,Bicycle,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Temperature is hot,a3b3Z000001Zpjx,,POINT (500108.2970322977 4792337.141133313),Nyarusange,POINT (499658.4689397679 4790499.624182629),,1891.775318815317,
Nyarusange,03/11/2022,Bridge Survey - 00006873,,,,Other,Gakenke district,42,Muko,,120603,B2P bridge,Selling goods,,Livelihood,180.0,Male,Senior,,,,2.0,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zpfz,POINT (500108.2970322977 4792337.141133313),,Nyarusange,POINT (499658.4689397679 4790499.624182629),1891.775318815317,,
Nyarusange,13/03/2022,Bridge Survey - 00006995,,,,Other,,nan,Muko,,120603,B2P bridge,Church or worship,,Worship,60.0,Female,Adult,,1.0,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001ZppB,POINT (500108.2970322977 4792337.141133313),,Nyarusange,POINT (499658.4689397679 4790499.624182629),1891.775318815317,,
Nyarusange,17/05/2022,Bridge Survey - 00007775,Muko,,120603.0,Other,Gakenke,42,Muko,,120603,B2P bridge,Visiting friends or family,,Visiting family or friends,120.0,Female,Adult,,2.0,,2.0,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001gOJs,POINT (500108.2970322977 4792337.141133313),,Nyarusange,POINT (499658.4689397679 4790499.624182629),1891.775318815317,,
